time,ref,tau,err,theta_m,dtheta_m,ddtheta_m,tau_s,tau_m
0.066,0,-0.00286982412871896,0.00286982412871896,0.00129349307729093,0.0537393115170745,1.26707220061843,-0.00286982412871896,0.0256302748565403
0.067,0,-0.00291555856323609,0.00291555856323609,0.00134789845743128,0.0550261186468166,1.28680712974216,-0.00291555856323609,0.0260766329078361
0.068,0,-0.002964430649521,0.002964430649521,0.00140360183720042,0.0563342293734868,1.30811072667012,-0.002964430649521,0.0265377471041876
0.069,0,-0.00301502587436793,0.00301502587436793,0.0014606249490612,0.0576644833188239,1.33025394533714,-0.00301502587436793,0.0269998136597375
0.07,0,-0.00306586092712338,0.00306586092712338,0.00151898998408496,0.0590169577026266,1.35247438380272,-0.00306586092712338,0.0274491761927974
0.071,0,-0.00311546008846132,0.00311546008846132,0.00157871883216826,0.060390973212982,1.37401551035533,-0.00311546008846132,0.027873007279846
0.072,0,-0.00316242913123348,0.00316242913123348,0.00163983234705518,0.0617851377261429,1.3941645131609,-0.00316242913123348,0.0282599297696014
0.073,0,-0.00320552310853416,0.00320552310853416,0.00170234967241484,0.0631974246458799,1.41228691973705,-0.00320552310853416,0.0286005484635927
0.074,0,-0.00324370480936922,0.00324370480936922,0.0017662876611712,0.064625280990861,1.4278563449811,-0.00324370480936922,0.0288878680581764
0.075,0,-0.00327619121732428,0.00327619121732428,0.00183166041473231,0.0660657590059695,1.44047801510853,-0.00327619121732428,0.0291175795906137
0.076,0,-0.00330248598053523,0.00330248598053523,0.00189847896203688,0.0675156640691122,1.44990506314269,-0.00330248598053523,0.0292882046923843
0.077,0,-0.00332239665519394,0.00332239665519394,0.00196675109079689,0.0689717110496113,1.45604698049904,-0.00332239665519394,0.0294010943537255
0.078,0,-0.00333603627986705,0.00333603627986705,0.0020364813353644,0.070430681067774,1.45897001816272,-0.00333603627986705,0.0294602862652771
0.079,0,-0.00334380963320172,0.00334380963320172,0.00210767111769789,0.0718895708067549,1.45888973898094,-0.00334380963320172,0.0294722317588884
0.08,0,-0.00334638528338015,0.00334638528338015,0.00218031903034521,0.0733457271160748,1.45615630931987,-0.00334638528338015,0.0294454095834543
0.081,0,-0.00334465521728308,0.00334465521728308,0.00225442124356484,0.0747969605810911,1.45123346501634,-0.00334465521728308,0.0293898489331131
0.082,0,-0.00333968440886377,0.00333968440886377,0.002329972012991,0.0762416329580649,1.44467237697374,-0.00333968440886377,0.0293165880636787
0.083,0,-0.00333265312411975,0.00333265312411975,0.00240696425986994,0.0776787148210043,1.43708186293946,-0.00333265312411975,0.029237097327575
0.084,0,-0.00332479504608508,0.00332479504608508,0.0024853901930339,0.0791078113558069,1.42909653480255,-0.00332479504608508,0.0291626964425662
0.085,0,-0.00331733442732328,0.00331733442732328,0.00256524194053889,0.0805291558860043,1.42134453019745,-0.00331733442732328,0.0291039952772819
0.086,0,-0.00331142543774031,0.00331142543774031,0.00264651215928905,0.0819435723386074,1.41441645260309,-0.00331142543774031,0.0290703854553844
0.087,0,-0.00330809667865336,0.00330809667865336,0.00272919459293891,0.0833524093776403,1.40883703903288,-0.00330809667865336,0.0290696067892332
0.088,0,-0.00330820349409501,0.00330820349409501,0.00281328455176482,0.0847574502739349,1.40504089629458,-0.00330820349409501,0.0291074081532446
0.089,0,-0.00331239024824919,0.00331239024824919,0.00289877929281726,0.0861608036804892,1.40335340655433,-0.00331239024824919,0.0291873171477331
0.09,0,-0.00332106418014094,0.00332106418014094,0.00298567828424374,0.0875647812947937,1.40397761430444,-0.00332106418014094,0.0293105270718777
0.091,0,-0.00333438182376663,0.00333438182376663,0.00307398334390124,0.0889717688803356,1.40698758554199,-0.00333438182376663,0.0294759036273194
0.092,0,-0.0033522483266578,0.0033522483266578,0.00316369864892896,0.0903840972733359,1.41232839300025,-0.0033522483266578,0.0296801077232146
0.093,0,-0.00337432934607632,0.00337432934607632,0.00325483061949036,0.091803919819212,1.41982254587612,-0.00337432934607632,0.0299178250510595
0.094,0,-0.00340007458225853,0.00340007458225853,0.00334738768609099,0.0932331021846292,1.42918236541717,-0.00340007458225853,0.0301820880181488
0.095,0,-0.003428751452412,0.003428751452412,0.00344137995543587,0.0946731297089152,1.44002752428605,-0.003428751452412,0.0304646714092078
0.096,0,-0.00345948694353204,0.00345948694353204,0.00353681879444656,0.0961250364399815,1.45190673106629,-0.00345948694353204,0.0307565399736952
0.097,0,-0.0034913153273238,0.0034913153273238,0.00363371635560573,0.0975893588021237,1.46432236214215,-0.0034913153273238,0.0310483241408857
0.098,0,-0.0035232291912973,0.0035232291912973,0.00373208506908945,0.0990661155309541,1.47675672883041,-0.0035232291912973,0.0313307993141729
0.099,0,-0.00355423114441621,0.00355423114441621,0.0038319371281039,0.100554814152988,1.48869862203438,-0.00355423114441621,0.0315953446924005
0.1,0,-0.00358338359466069,0.00358338359466069,0.0039332839934539,0.102054482953156,1.49966880016769,-0.00358338359466069,0.0318343592512297
0.101,0,-0.00360985416384555,0.00360985416384555,0.00403613594169029,0.103563726128788,1.50924317563135,-0.00360985416384555,0.0320416152740667
0.102,0,-0.00363295459006327,0.00363295459006327,0.00414050167833343,0.105080798733187,1.51707260439941,-0.00363295459006327,0.0322125334826964
0.103,0,-0.00365217135275438,0.00365217135275438,0.00424638803382322,0.106603697116361,1.52289838317425,-0.00365217135275438,0.0323443681751317
0.104,0,-0.00366718671765661,0.00366718671765661,0.00435379975522409,0.108130259914112,1.52656279775091,-0.00366718671765661,0.0324362955946901
0.105,0,-0.00367788941352514,0.00367788941352514,0.00446273940156649,0.109658274245727,1.52801433161443,-0.00367788941352514,0.0324894037770768
0.106,0,-0.00368437469238812,0.00368437469238812,0.004573207345308,0.111185581667149,1.52730742142287,-0.00368437469238812,0.0325065870944876
0.107,0,-0.00368693406251636,0.00368693406251636,0.00468520187702302,0.112710178588837,1.52459692168739,-0.00368693406251636,0.032492353390112
0.108,0,-0.0036860354914646,0.0036860354914646,0.00479871940534788,0.114230306289747,1.5201277009107,-0.0036860354914646,0.032452555747778
0.109,0,-0.00368229533089012,0.00368229533089012,0.00491375473966522,0.115744526312896,1.51422002314809,-0.00368229533089012,0.0323940643767104
0.11,0,-0.00367644359413151,0.00367644359413151,0.00503030143921825,0.117251777874494,1.50725156159864,-0.00367644359413151,0.0323243966581319
0.111,0,-0.00366928450486904,0.00366928450486904,0.00514835220947239,0.118751414910347,1.49963703585246,-0.00366928450486904,0.0322513249949932
0.112,0,-0.00366165441874258,0.00366165441874258,0.00526789932470616,0.120243221466253,1.49180655590601,-0.00366165441874258,0.0321824826749287
0.113,0,-0.00365437929325607,0.00365437929325607,0.00538893505507853,0.121727405257136,1.48418379088319,-0.00365437929325607,0.032124987499676
0.114,0,-0.00364823384401136,0.00364823384401136,0.00551145207679306,0.123204570315532,1.47716505839571,-0.00364823384401136,0.0320851015026564
