time,ref,tau,err,theta_m,dtheta_m,ddtheta_m,tau_s,tau_m
0.02,0,-0.00415827028762908,0.00415827028762908,3.9751799184146e-06,0.000984099195517221,0.178639691127337,-0.00415827028762908,0
0.021,0,-0.00474225085452455,0.00474225085452455,5.06234615898538e-06,0.00118932591060858,0.205226715091363,-0.00474225085452455,0
0.022,0,-0.00536860030554994,0.00536860030554994,6.36915615379741e-06,0.00142320349517865,0.233877584570067,-0.00536860030554994,0
0.023,0,-0.00603676038075739,0.00603676038075739,7.92529494404917e-06,0.00168777554769848,0.264572052519831,-0.00603676038075739,0
0.024,0,-0.00674591812066089,0.00674591812066089,9.76247546491401e-06,0.00198505256872531,0.297277021026825,-0.00674591812066089,0
0.025,0,-0.0074950106988652,0.0074950106988652,1.19143991113055e-05,0.0023169993212186,0.331946752493298,-0.0074950106988652,0
0.026,0,-0.00828273149157335,0.00828273149157335,1.44167037955711e-05,0.00268552246449719,0.36852314327859,-0.00828273149157335,0
0.027,0,-0.00910753735372684,0.00910753735372684,1.73068998014282e-05,0.0030924585229307,0.406936058433511,-0.00910753735372684,0
0.028,0,-0.00996765706550202,0.00996765706550202,2.06242937987441e-05,0.00353956224879208,0.447103725861375,-0.00996765706550202,0
0.029,0,-0.0108611009070369,0.0108611009070369,2.44099014422262e-05,0.00402849543673404,0.488933187941964,-0.0108611009070369,0
0.03,0,-0.0117856713136248,0.0117856713136248,2.87063490334552e-05,0.00456081624510148,0.53232080836744,-0.0117856713136248,0
0.031,0,-0.0127389745582107,0.0127389745582107,3.35577647796598e-05,0.00513796907676485,0.577152831663366,-0.0127389745582107,0
0.032,0,-0.013718433402896,0.013718433402896,3.90096602339461e-05,0.00576127506936954,0.62330599260469,-0.013718433402896,0
0.033,0,-0.0147213006563106,0.0147213006563106,4.51088025500902e-05,0.00643192324185666,0.670648172487121,-0.0147213006563106,0
0.034,0,-0.0157446735691918,0.0157446735691918,5.19030782302366e-05,0.00715096234083704,0.719039098980374,-0.0157446735691918,0
0.035,0,-0.0167855089963159,0.0167855089963159,5.94413490857038e-05,0.00791929342690887,0.768331086071836,-0.0167855089963159,0
0.036,0,-0.017840639249105,0.017840639249105,6.7773301169354e-05,0.00873766323731791,0.818369810409032,-0.017840639249105,0
0.037,0,-0.0189067885597795,0.0189067885597795,7.69492874724639e-05,0.00960665835748528,0.868995120167382,-0.0189067885597795,0
0.038,0,-0.0199805900748726,0.0199805900748726,8.70201652095506e-05,0.0105267002298925,0.920041872407251,-0.0199805900748726,0
0.039,0,-0.0210586032932818,0.0210586032932818,9.80371285410216e-05,0.0114980410246347,0.971340794742192,-0.0210586032932818,0
0.04,0,-0.0221373318618121,0.0221373318618121,0.000110051537605683,0.0125207603916533,1.02271936701853,-0.0221373318618121,0
0.041,0,-0.0232132416393803,0.0232132416393803,0.000123114744752965,0.0135947631102602,1.07400271860696,-0.0232132416393803,0
0.042,0,-0.024282778939715,0.024282778939715,0.000137277918878098,0.0147197776470889,1.12501453682865,-0.024282778939715,0
0.043,0,-0.0253423888614905,0.0253423888614905,0.00015259186877235,0.0158953556290718,1.17557798198289,-0.0253423888614905,0
0.044,0,-0.0263885336144065,0.0263885336144065,0.000169106866404739,0.0171208722334822,1.22551660441049,-0.0263885336144065,0
0.045,0,-0.0274177107497425,0.0274177107497425,0.000186872471051423,0.0183955274924993,1.27465525901705,-0.0274177107497425,0
0.046,0,-0.0284264712044003,0.0284264712044003,0.000205937355184083,0.0197183485051926,1.32282101269326,-0.0284264712044003,0
0.047,0,-0.0294114370683824,0.0294114370683824,0.00022634913301931,0.021088192545297,1.36984404010449,-0.0294114370683824,0
0.048,0,-0.0303693189870376,0.0303693189870376,0.00024815419261709,0.0225037510486779,1.41555850338087,-0.0303693189870376,0
0.049,0,-0.0312969331112359,0.0312969331112359,0.000271397532398201,0.0239635544599972,1.45980341131927,-0.0312969331112359,0
0.05,0,-0.0321912175108961,0.0321912175108961,0.000296122602927681,0.0254659779138082,1.50242345381103,-0.0321912175108961,0
0.051,0,-0.0330492479699733,0.0330492479699733,0.000322371154784682,0.0270092477211418,1.54326980733355,-0.0330492479699733,0
0.052,0,-0.0338682530841096,0.0338682530841096,0.000350183093308045,0.0285914486286301,1.58220090748834,-0.0338682530841096,0
0.053,0,-0.0346456285856375,0.0346456285856375,0.000379596340972041,0.0302105318133631,1.61908318473305,-0.0346456285856375,0
0.054,0,-0.0353789508244898,0.0353789508244898,0.000410646708108083,0.0318643235730021,1.65379175963892,-0.0353789508244898,0
0.055,0,-0.0360659893377914,0.0360659893377914,0.000443367772645964,0.03355053466721,1.68621109420788,-0.0360659893377914,0
0.056,0,-0.0367047184454629,0.0367047184454629,0.000477790769502615,0.0352667702632124,1.71623559600242,-0.0367047184454629,0
0.057,0,-0.0372933278140395,0.0372933278140395,0.000513944490197648,0.0370105404352906,1.74377017207826,-0.0372933278140395,0
0.058,0,-0.0378302319360612,0.0378302319360612,0.000551855193223366,0.0387792711652507,1.76873072996002,-0.0378302319360612,0
0.059,0,-0.0383140784778173,0.0383140784778173,0.000591546525642678,0.0405703157884158,1.79104462316511,-0.0383140784778173,0
0.06,0,-0.0387437554538808,0.0387437554538808,0.000633039456331789,0.0423809668274741,1.81065103905836,-0.0387437554538808,0
0.061,0,-0.0391183971927351,0.0391183971927351,0.000676352221225863,0.0442084681545819,1.82750132710777,-0.0391183971927351,0
0.062,0,-0.0394373890638352,0.0394373890638352,0.000721500280865428,0.0460500274204921,1.84155926591026,-0.0394373890638352,0
0.063,0,-0.0397003709426396,0.0397003709426396,0.000768496290479367,0.0479028286881537,1.85280126766153,-0.0397003709426396,0
0.064,0,-0.0399072393964529,0.0399072393964529,0.000817350082777252,0.0497640452072112,1.8612165190575,-0.0399072393964529,0
0.065,0,-0.0400581485803134,0.0400581485803134,0.000868068663559839,0.0516308522651432,1.86680705793204,-0.0400581485803134,0
0.066,0,-0.0401535098386067,0.0401535098386067,0.00092065622019205,0.0535004400504003,1.86958778525704,-0.0401535098386067,0
0.067,0,-0.0401939900145536,0.0401939900145536,0.000975114142918108,0.0553700264628538,1.86958641245356,-0.0401939900145536,0
0.068,0,-0.0401805084761754,0.0401805084761754,0.00103144105893388,0.0572368698071405,1.86684334428668,-0.0401805084761754,0
0.069,0,-0.040114232873756,0.040114232873756,0.00108963287906732,0.0590982813050781,1.86141149793756,-0.040114232873756,0
0.07,0,-0.0399965736501547,0.0399965736501547,0.00114968285685465,0.0609516373642442,1.85335605916613,-0.0399965736501547,0
0.071,0,-0.0398291773315581,0.0398291773315581,0.00121158165973729,0.0627943915410354,1.84275417679119,-0.0398291773315581,0
0.072,0,-0.0396139186323472,0.0396139186323472,0.00127531745204404,0.064624086138059,1.82969459702366,-0.0396139186323472,0
0.073,0,-0.0393528914136855,0.0393528914136855,0.00134087598936332,0.0664383633775475,1.8142772394885,-0.0393528914136855,0
0.074,0,-0.039048398541155,0.039048398541155,0.00140824072385334,0.0682349760946099,1.79661271706236,-0.039048398541155,0
0.075,0,-0.0387029406922678,0.0387029406922678,0.00147739291998288,0.070011797896545,1.77682180193514,-0.0387029406922678,0
0.076,0,-0.0383192041699272,0.0383192041699272,0.00154831178014296,0.0717668327371159,1.75503484057088,-0.0383192041699272,0
0.077,0,-0.0379000477828733,0.0379000477828733,0.00162097457952009,0.0734982238576162,1.7313911205003,-0.0379000477828733,0
0.078,0,-0.0374484888588087,0.0374484888588087,0.00169535680957499,0.0752042620497326,1.70603819211644,-0.0374484888588087,0
0.079,0,-0.0369676884602316,0.0369676884602316,0.00177143232942759,0.0768833931986028,1.67913114887017,-0.0369676884602316,0
0.08,0,-0.0364609358769804,0.0364609358769804,0.00184917352440921,0.0785342250680729,1.65083186947007,-0.0364609358769804,0
0.081,0,-0.0359316324731077,0.0359316324731077,0.00192855147100659,0.0801555332939533,1.62130822588043,-0.0359316324731077,0
0.082,0,-0.0353832749689203,0.0353832749689203,0.00200953610739043,0.0817462665550353,1.59073326108197,-0.0353832749689203,0
0.083,0,-0.0348194382418426,0.0348194382418426,0.00209209640869271,0.0833055508957465,1.55928434071126,-0.0348194382418426,0
0.084,0,-0.0342437577321584,0.0342437577321584,0.00217620056617316,0.0848326931785704,1.52714228282387,-0.0342437577321584,0
